QDM Type,Data Element Valueset,Attribute,Attribute Valueset,Measure
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS50v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1285,relevantPeriod,,CMS50v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1025,relevantPeriod,,CMS50v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1024,relevantPeriod,,CMS50v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1022,relevantPeriod,,CMS50v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1023,relevantPeriod,,CMS50v7
QDM::InterventionPerformed,2.16.840.1.113883.3.464.1003.101.12.1046,relevantPeriod,,CMS50v7
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.398,relevantPeriod,,CMS129v8
QDM::LaboratoryTestPerformed,35266-6,relevantPeriod,,CMS129v8
QDM::LaboratoryTestPerformed,35266-6,result,,CMS129v8
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1536,relevantPeriod,,CMS129v8
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1536,result,433351000124101,CMS129v8
QDM::LaboratoryTestPerformed,2.16.840.1.113883.3.526.3.401,relevantPeriod,,CMS129v8
QDM::LaboratoryTestPerformed,2.16.840.1.113883.3.526.3.401,result,,CMS129v8
QDM::Diagnosis,2.16.840.1.113883.3.526.3.319,prevalencePeriod,,CMS129v8
QDM::DiagnosticStudyPerformed,2.16.840.1.113883.3.526.3.320,relevantPeriod,,CMS129v8
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1536,result,369834001,CMS129v8
QDM::DiagnosticStudyPerformed,2.16.840.1.113883.3.526.3.320,reason,,CMS129v8
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.399,relevantPeriod,,CMS129v8
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1536,result,,CMS129v8
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1536,result,433361000124104,CMS129v8
QDM::Diagnosis,2.16.840.1.113883.3.526.3.451,prevalencePeriod,,CMS129v8
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1536,result,369833007,CMS129v8
QDM::DiagnosticStudyPerformed,2.16.840.1.113883.3.526.3.320,reason,433611000124109,CMS129v8
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1411,relevantPeriod,,CMS132v7
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1447,relevantPeriod,,CMS132v7
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1434,relevantPeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1423,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1435,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1417,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1419,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1418,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1428,prevalencePeriod,,CMS132v7
QDM::MedicationActive,2.16.840.1.113883.3.526.3.1442,relevantPeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1443,prevalencePeriod,,CMS132v7
