title,description
Active dateTime,"When the order indicates the first immunization administration should occur. Active dateTime is most often used to specify immunizations for which administration is intended at a specific time in the future. If Active dateTime is not specified, it defaults to the Author (signed) dateTime."
Admission Source,"The location from which the patient was admitted (e.g., physician referral, facility from which the patient was transferred)."
Anatomical Approach Site,"The anatomical site or structure through which the action represented by the datatype reaches, or should reach, its target."
Anatomical Location Site,"The anatomical site or structure where the diagnosis/problem manifests itself (a). The anatomical site or structure that is the focus of the action represented by the datatype (b)."
Author dateTime,"The time the data element was entered into the clinical software. Note, some datatypes include both Relevant Time and Author dateTime attributes. The purpose is to accommodate Author dateTime if the actual start and stop times are not available when evaluating for feasibility, and also to allow specification of a time for Negation Rationale."
Cause,"The recorded cause of death."
Code,"The single code or a member of the value set used to represent the quality data element. The code attribute explicitly specifies the value set (or direct referenced code) filter such that the query will retrieve only values defined by the QDM data element value or value set."
Birth dateTime,"The date and time that the patient was born."
Components,"Elements included or documented as part of evaluations or test panels. Examples include: specific questions included in assessments, tests included in a laboratory test panel, observations included in a cardiac exam during a physical examination. Each assessment, diagnostic study, laboratory test, physical exam or procedure may have one or more components."
Expiration dateTime,"The date and time that the patient passed away."
Diagnoses,"Coded diagnoses/problems addressed during the encounter. The diagnoses attribute is intended to capture ALL diagnoses, including principal diagnosis. Use of the Encounter, Performed: diagnoses attribute and the Diagnosis datatype is redundant for relating the diagnosis to the Encounter, Performed. The Encounter, Performed: diagnoses syntax is preferred. Referencing the same diagnosis using Encounter, Performed (diagnoses attribute) and Diagnosis (datatype) should only occur if the measure must define a specified length of a prevalence period, e.g., the measure must assure that the diagnoses have been present for at least some defined time period before the encounter, and were addressed during the Encounter."
Discharge Disposition,"The disposition or location to which the patient is transferred at the time of hospital discharge."
Dosage,"Details of how medication is taken or is to be taken, i.e., the quantity (mg, cc, tablets) to be taken at a single administration."
Facility Location,"The particular locations in a facility in which the diagnostic study or encounter occurs or occurred. Examples include, but are not limited to, intensive care units (ICUs), non- ICUs, burn critical-care unit, neonatal ICU, and respiratory-care unit. Each Encounter, Performed may have 1 or more locations. For example, a patient treated in multiple locations during an individual encounter might be expressed as: Encounter, Performed: Inpatient Admission, ICU (location period), Non-ICU Admission (location period), Rehab (location period). Facility Location (singular) is used for Adverse Event; Diagnostic Study, Performed; Encounter, Order; Encounter, Recommended."
Facility Locations,"The particular locations in a facility in which the diagnostic study or encounter occurs or occurred. Examples include, but are not limited to, intensive care units (ICUs), non- ICUs, burn critical-care unit, neonatal ICU, and respiratory-care unit. Each Encounter, Performed may have 1 or more locations. For example, a patient treated in multiple locations during an individual encounter might be expressed as: Encounter, Performed: Inpatient Admission, ICU (location period), Non-ICU Admission (location period), Rehab (location period). Facility Locations (plural) is used for Encounter, Performed since there may be more than one facility location used in any given encounter."
Frequency,"Indicates how frequently the medication or substance: is administered to a patient for an active medication (Medication, Active), was administered to the patient (Medication, Administered and Substance, Administered), should be taken by the patient or administered to the patient (Medication, Discharge; Medication, Dispensed; Medication, Order; and Substance, Order), is recommended to be given to the patient (Substance, Recommended)."
id,
Incision dateTime,"The date and time of the first incision of the procedure. Incision dateTime is a single point in time available from the Operating Room and/or Anesthesia Record."
