title,description
"Adverse Event","Adverse Event is used to define any untoward medical occurrence associated with the clinical care delivery, whether or not considered drug related."
"Allergy/Intolerance","Allergy is used to address immune-mediated reactions to a substance such as type 1 hypersensitivity reactions, other allergy-like reactions, including pseudo-allergy. Intolerance is a record of a clinical assessment of a propensity, or a potential risk to an individual, to have a non-immune mediated adverse reaction on future exposure to the specified substance or class of substance."
"Assessment","Assessment is a category used to define specific observations that clinicians use to guide treatment of the patient. An assessment can be a single question, or observable entity with an expected response, an organized collection of questions intended to solicit information from patients, clinicians, or other individuals, or a single observable entity that is part of a collection of questions."
"Care Experience","Care Experience represents the experience a patient has when receiving care or a provider has when providing care. The individual Care Experience datatypes should be consulted for further details."
"Care Goal","Care Goal represents a defined target or measure to be achieved in the process of patient care, that is, an expected outcome. A typical goal is expressed as a change in status expected at a defined future time. That change can be an observation represented by other QDM categories (diagnostic tests, laboratory tests, symptoms, etc.) scheduled for some time in the future and with a particular value. A goal can be found in the plan of care (care plan), the structure used by all stakeholders, including the patient, to define the management actions for the various conditions, problems, or issues identified for the target of the plan. This structure, through which the goals and care-planning actions and processes can be organized, planned, communicated, and checked for completion, is represented in the QDM categories as a Record Artifact. A time/date stamp is required. Specifically, a care plan is composed of the following elements: <ul><li>Problem, which is managed by other QDM standard categories (condition/diagnosis/problem) and their related data elements.</li> <li>Procedure, which is managed by other standard categories and their related data elements. <ul style=""list-style-type: '- ';""><li>Note that procedures are a continuum of interventions ranging from actions patients can do for themselves to those that can be performed by others (caregivers or clinical professionals), including detailed complex surgical procedures requiring highly trained physicians, nurses, and state-of-the-art facilities.</li></ul> </li> <li>Goal, which is what is expected to happen.</li> <li>Outcome, which is what happened. An outcome can be shown by other QDM standard categories and their related data elements.</li></ul>"
"Communication","Communication represents the transmission, receipt, or acknowledgement of information sent from a source to a recipient, such as from one clinician to another regarding findings, assessments, plans of care, consultative advice, instructions, and educational resources. The HL7 FHIR 3.0 resource Communication defines communication as a conveyance of information from one entity, a sender, to another entity, a receiver. The senders and receivers may be patients, practitioners, care partners, organizations, or devices. Established FHIR resources include: <ul><li>A reminder or alert delivered to a responsible provider</li><li> A recorded notification from the nurse that a patient's temperature exceeds a value</li><li>A notification to a public health agency of a patient presenting with a communicable disease reportable to the public health agency</li><li>Patient educational material sent by a provider to a patient</li><li>Non-patient specific communication use cases may include:</li><ul style=""list-style-type: '- ';""><li>A nurse call from a hall bathroom</li><li>Advisory for battery service from a pump</li></ul></ul>Generally, direct patient counseling, training or education represents an intervention or procedure. A time and a date stamp are required.<br>QDM through version 5.3 included three communication QDM datatypes:<ul><li>""Communication, Provider to Patient""</li><li>""Communication, Patient to Provider""</li><li>""Communication, Provider to Provider""</li></ul>These three datatypes restricted the measure developer to communication between patients and providers and among providers. The structure of the datatypes also provided implicit guidance to implementers to define what type of provider based on the intent of the measure.<br>QDM 5.4 merged the three communication QDM datatypes into one, ""Communication, Performed"" to allow greater expressivity and more explicit definition of the sender and receiver and to indicate the anticipated communication medium. This new QDM modeling is more consistent with other QDM datatypes and it is also modeled more consistently with existing communication interoperability resources (e.g., HL7 FHIR). Note that measure developers need to test measures that use ""Communication, Performed"" to determine if the sender and recipient attribute information is available. Confirmation regarding receipt of communications requires interoperability."
"Condition/Diagnosis/Problem","<p>Condition/Diagnosis/Problem represents a practitioner's identification of a patient's disease, illness, injury, or condition. This category contains a single datatype to represent all these concepts: Diagnosis. A practitioner determines the diagnosis by means of examination, diagnostic test results, patient history, and/or family history. Diagnoses are usually considered unfavorable but may also represent neutral or favorable conditions that affect a patient's plan of care (e.g., pregnancy).</p><p>The QDM does not prescribe the source of diagnosis data in the EHR. Diagnoses may be found in a patient's problem list, encounter diagnosis list, claims data, or other sources within the EHR. The preferred terminology for diagnoses is SNOMED CT, but diagnoses may also be encoded using ICD-9-CM and/or ICD-10-CM.</p><p>The Diagnosis datatype should not be used for differential diagnoses or rule-out diagnoses (neither of which are currently supported by the QDM).</p>"
"Device","<p>Device represents an instrument, apparatus, implement, machine, contrivance, implant, in-vitro reagent, or other similar or related article, including a component part or accessory, intended for use in the diagnosis, cure, mitigation, treatment, or prevention of disease and not dependent on being metabolized to achieve any of its primary intended purposes.</p><p>Documented evidence of a device may exist in a clinical record in various ways:</p><ul><li>A provider may document placement of a device as an intervention or procedure (e.g., the QDM datatypes Intervention, Performed, or Procedure, Performed). Example: Procedure, Performed: Pacemaker insertion.</li><li>The provider may document presence of the device as a finding, perhaps including the finding on the problem list. Example: Diagnosis: Pacemaker present, or Assessment, Performed: Pacemaker present.</li><li>A provider may also document the device in a specific device use statement or assessment. <ul style=""list-style-type: '- ';""><li>Example: Device, Applied: Transtelephonic monitoring of pacemaker assessment. Note that the current use of the QDM datatype 'Device, Applied' usually references the procedure to 'apply' the device (i.e., to use for the patient, to use on the patient's body, or to implant in the patient's body). Each of these current uses should address the concept using the QDM datatypes, Intervention, Performed, or Procedure, Performed.</li></ul></li></ul> Given the variation in determining evidence of device usage, a measure developer may need to include multiple queries (or retrieves) to assure capture of all devices present in the measure population. The QDM datatype, Device, Applied, provides the best method to determine specific details about the device in use if a device usage assessment exists to provide such information. It also allows a measure developer to explicitly express which devices should be included in the query."
"Diagnostic Study","Diagnostic Study represents any kind of medical test performed as a specific test or series of steps to aid in diagnosing or detecting disease (e.g., to establish a diagnosis, measure the progress or recovery from disease, confirm that a person is free from disease). The QDM defines diagnostic studies as those that are not performed in organizations that perform testing on samples of human blood, tissue, or other substance from the body. Diagnostic studies may make use of digital images and textual reports. Such studies include, but are not limited to, imaging studies, cardiology studies (electrocardiogram, treadmill stress testing), pulmonary function testing, and vascular laboratory testing."
"Encounter","Encounter represents an identifiable grouping of healthcare-related activities characterized by the entity relationship between the subject of care and a healthcare provider; such a grouping is determined by the healthcare provider. A patient encounter represents interaction between a healthcare provider and a patient with a face-to-face patient visit to a clinician's office, or any electronically remote interaction with a clinician for any form of diagnostic treatment or therapeutic event. Encounters can be billable events but are not limited to billable interactions. Each encounter has an associated location or modality within which it occurred (such as an office, home, electronic methods, phone encounter, or telemedicine methods). The encounter location attribute defines the patient's location at the time of measurement. Different levels and modes of interaction can be specified in the direct reference code or value set value associated with the element."
"Family History","Family History represents a diagnosis or problem experienced by a family member of the patient. Typically, a family history will not contain very much detail, but the simple identification of a diagnosis or problem in the patient's family history may be relevant to the care of the patient. If a relationship is specified, codes from the HL7 Personal Relationship Role Type value set (2.16.840.1.113883.1.11.19563) should be used to ensure compatibility with Quality Reporting Document Architecture (QRDA) reporting constraints."
"Immunization","Immunization represents vaccines administered to patients in healthcare settings, but does not include non-vaccine agents."
