OID,ValueSetName,ExpansionVersion,CodeSystemName,CodeSystemVersion,CodeSystemOID,Purpose
2.16.840.1.113883.3.526.3.1139,ACE Inhibitor or ARB,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent angiotensin-converting enzyme (ACE) inhibitor and angiotensin-receptor blocker (ARB) therapies.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Medication.),(Inclusion Criteria: Includes only relevant concepts associated with semantic clinical drugs concepts associated with component, form and strength); generic; prescribable; ACE inhibitor, ARB therapy, combination drugs such as ACEI plus diuretic, ARB plus neprilysin inhibitor (ARNI), ARB plus diuretic, ACEI plus calcium channel blocker, ARB plus calcium channel blocker, or ARB plus calcium channel blocker plus diuretic.),(Exclusion Criteria: Excludes branded drugs; components or ingredients only; non-prescribable.)"
2.16.840.1.113883.3.526.3.1489,ACE Inhibitor or ARB Ingredient,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent angiotensin-converting enzyme (ACE) inhibitor and angiotensin-receptor blocker (ARB) ingredients.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Allergy/Intolerance.),(Inclusion Criteria: Includes only relevant concepts associated with prescribable angiotensin-converting enzyme (ACE) inhibitor and angiotensin-receptor blocker (ARB) ingredients only.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.464.1003.196.12.1171,ADHD Medications,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent attention deficit hyperactivity disorder (ADHD) medications. ),(Data Element Scope: This value set may use the Quality Data Model (QDM) datatype related to Medication, Active and Medication, Dispensed.),(Inclusion Criteria: Includes only relevant concepts associated with semantic clinical drugs (concepts associated with component, form and strength); generic; prescribable; ADHD medications only.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.600.1.1525,Above Normal Follow-up,eCQM Update 2018-09-17,CPT,2018,2.16.840.1.113883.6.12,"(Clinical Focus: This value set contains concepts that represent interventions relevant for a follow up for a BMI above normal measurement.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category Intervention or Procedure.),(Inclusion Criteria: Includes only relevant concepts associated with interventions relevant for a follow up when BMI is above normal measurement.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.600.1.1498,Above Normal Medications,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent clinical medications prescribed for weight loss to patients with an above normal BMI measurement.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Medication. ),(Inclusion Criteria: Includes only relevant concepts associated with oral drug forms prescribed for weight loss in patients with an above normal BMI measurement.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.464.1003.196.12.1317,Acetaminophen / Butalbital,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent acetaminophen / butalbital combination medications.),(Data Element Scope: This value set may use the Quality Data Model (QDM) datatype related to Medication, Ordered.),(Inclusion Criteria: Includes only relevant concepts associated with semantic clinical drugs; generic; human use only; prescribable; acetaminophen / butalbital (combination medication).),(Exclusion Criteria: Excludes branded drugs; components or ingredient only; non-prescribable; acetaminophen / butalbital in combination with other medications.)"
2.16.840.1.113883.3.464.1003.196.12.1363,Acetaminophen / Butalbital / Caffeine,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent acetaminophen / butalbital / caffeine combination medications.),(Data Element Scope: This value set may use the Quality Data Model (QDM) datatype related to Medication, Ordered.),(Inclusion Criteria: Includes only relevant concepts associated with semantic clinical drugs; generic; human use only; prescribable; acetaminophen / butalbital / caffeine (combination medication).),(Exclusion Criteria: Excludes branded drugs; components or ingredient only; non-prescribable; acetaminophen / butalbital / caffeine in combination with other medications.)"
2.16.840.1.113883.3.464.1003.196.12.1326,Acetaminophen / Butalbital / Caffeine / Codeine,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent acetaminophen / butalbital / caffeine / codeine combination medications.),(Data Element Scope: This value set may use the Quality Data Model (QDM) datatype related to Medication, Ordered.),(Inclusion Criteria: Includes only relevant concepts associated with semantic clinical drugs; generic; human use only; prescribable; acetaminophen / butalbital / caffeine / codeine (combination medication).),(Exclusion Criteria: Excludes branded drugs; components or ingredient only; non-prescribable; acetaminophen / butalbital / caffeine / codeine in combination with other medications.)"
2.16.840.1.113883.3.464.1003.196.12.1421,Acetaminophen / Chlorpheniramine / Dextromethorphan,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent acetaminophen / chlorpheniramine / dextromethorphan combination medications.),(Data Element Scope: This value set may use the Quality Data Model (QDM) datatype related to Medication, Ordered.),(Inclusion Criteria: Includes only relevant concepts associated with semantic clinical drugs; generic; human use only; prescribable; acetaminophen / chlorpheniramine / dextromethorphan (combination medication).),(Exclusion Criteria: Excludes branded drugs; components or ingredient only; non-prescribable; acetaminophen / chlorpheniramine / dextromethorphan in combination with other medications.)"
2.16.840.1.113883.3.464.1003.196.12.1310,Acetaminophen / Chlorpheniramine / Dextromethorphan / Phenylephrine,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine combination medications.),(Data Element Scope: This value set may use the Quality Data Model (QDM) datatype related to Medication, Ordered.),(Inclusion Criteria: Includes only relevant concepts associated with semantic clinical drugs; generic; human use only; prescribable; acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine (combination medication).),(Exclusion Criteria: Excludes branded drugs; components or ingredient only; non-prescribable; acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine in combination with other medications.)"
2.16.840.1.113883.3.464.1003.196.12.1321,Acetaminophen / Chlorpheniramine / Dextromethorphan / Pseudoephedrine,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine combination medications.),(Data Element Scope: This value set may use the Quality Data Model (QDM) datatype related to Medication, Ordered.),(Inclusion Criteria: Includes only relevant concepts associated with semantic clinical drugs; generic; human use only; prescribable; acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine (combination medication).),(Exclusion Criteria: Excludes branded drugs; components or ingredient only; non-prescribable; acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine in combination with other medications.)"
2.16.840.1.113883.3.464.1003.196.12.1328,Acetaminophen / Chlorpheniramine / Phenylephrine,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent acetaminophen / chlorpheniramine / phenylephrine combination medications.),(Data Element Scope: This value set may use the Quality Data Model (QDM) datatype related to Medication, Ordered.),(Inclusion Criteria: Includes only relevant concepts associated with semantic clinical drugs; generic; human use only; prescribable; acetaminophen / chlorpheniramine / phenylephrine (combination medication).),(Exclusion Criteria: Excludes branded drugs; components or ingredient only; non-prescribable; acetaminophen / chlorpheniramine / phenylephrine in combination with other medications.)"
2.16.840.1.113883.3.464.1003.196.12.1316,Acetaminophen / Chlorpheniramine / Pseudoephedrine,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent acetaminophen / chlorpheniramine / pseudoephedrine combination medications.),(Data Element Scope: This value set may use the Quality Data Model (QDM) datatype related to Medication, Ordered.),(Inclusion Criteria: Includes only relevant concepts associated with semantic clinical drugs; generic; human use only; prescribable; acetaminophen / chlorpheniramine / pseudoephedrine (combination medication).),(Exclusion Criteria: Excludes branded drugs; components or ingredient only; non-prescribable; acetaminophen / chlorpheniramine / pseudoephedrine in combination with other medications.)"
2.16.840.1.113883.3.464.1003.196.12.1405,Acetaminophen / Dexbrompheniramine,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent acetaminophen / dexbrompheniramine combination medications.),(Data Element Scope: This value set may use the Quality Data Model (QDM) datatype related to Medication, Ordered.),(Inclusion Criteria: Includes only relevant concepts associated with semantic clinical drugs; generic; human use only; prescribable; acetaminophen / dexbrompheniramine (combination medication).),(Exclusion Criteria: Excludes branded drugs; components or ingredient only; non-prescribable; acetaminophen / dexbrompheniramine in combination with other medications.)"
2.16.840.1.113883.3.464.1003.196.12.1399,Acetaminophen / Dextromethorphan / Diphenhydramine / Phenylephrine,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent acetaminophen / dextromethorphan / diphenhydramine / phenylephrine combination medications.),(Data Element Scope: This value set may use the Quality Data Model (QDM) datatype related to Medication, Ordered.),(Inclusion Criteria: Includes only relevant concepts associated with semantic clinical drugs; generic; human use only; prescribable; acetaminophen / dextromethorphan / diphenhydramine / phenylephrine (combination medication).),(Exclusion Criteria: Excludes branded drugs; components or ingredient only; non-prescribable; acetaminophen / dextromethorphan / diphenhydramine / phenylephrine in combination with other medications.)"
2.16.840.1.113883.3.464.1003.196.12.1338,Acetaminophen / Dextromethorphan / Doxylamine,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent acetaminophen / dextromethorphan / doxylamine combination medications.),(Data Element Scope: This value set may use the Quality Data Model (QDM) datatype related to Medication, Ordered.),(Inclusion Criteria: Includes only relevant concepts associated with semantic clinical drugs; generic; human use only; prescribable; acetaminophen / dextromethorphan / doxylamine (combination medication).),(Exclusion Criteria: Excludes branded drugs; components or ingredient only; non-prescribable; acetaminophen / dextromethorphan / doxylamine in combination with other medications.)"
2.16.840.1.113883.3.464.1003.196.12.1287,Acetaminophen / Dextromethorphan / Doxylamine / Phenylephrine,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent acetaminophen / dextromethorphan / doxylamine / phenylephrine combination medications.),(Data Element Scope: This value set may use the Quality Data Model (QDM) datatype related to Medication, Ordered.),(Inclusion Criteria: Includes only relevant concepts associated with semantic clinical drugs; generic; human use only; prescribable; acetaminophen / dextromethorphan / doxylamine / phenylephrine (combination medication).),(Exclusion Criteria: Excludes branded drugs; components or ingredient only; non-prescribable; acetaminophen / dextromethorphan / doxylamine / phenylephrine in combination with other medications.)"
2.16.840.1.113883.3.464.1003.196.12.1350,Acetaminophen / Diphenhydramine,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent acetaminophen / diphenhydramine combination medications.),(Data Element Scope: This value set may use the Quality Data Model (QDM) datatype related to Medication, Ordered.),(Inclusion Criteria: Includes only relevant concepts associated with semantic clinical drugs; generic; human use only; prescribable; acetaminophen / diphenhydramine (combination medication).),(Exclusion Criteria: Excludes branded drugs; components or ingredient only; non-prescribable; acetaminophen / diphenhydramine in combination with other medications.)"
2.16.840.1.113883.3.464.1003.196.12.1318,Acetaminophen / Diphenhydramine / Phenylephrine,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent acetaminophen / diphenhydramine / phenylephrine combination medications.),(Data Element Scope: This value set may use the Quality Data Model (QDM) datatype related to Medication, Ordered.),(Inclusion Criteria: Includes only relevant concepts associated with semantic clinical drugs; generic; human use only; prescribable; acetaminophen / diphenhydramine / phenylephrine (combination medication).),(Exclusion Criteria: Excludes branded drugs; components or ingredient only; non-prescribable; acetaminophen / diphenhydramine / phenylephrine in combination with other medications.)"
2.16.840.1.113883.3.117.1.7.1.377,Activation of Emergency Medical System Education,eCQM Update 2018-09-17,SNOMEDCT,2018-03,2.16.840.1.113883.6.96,"(Clinical Focus: This value set contains concepts that represent procedures used to represent patients who receive emergency medical system education.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Communication. The intent of this data element is to identify patients who receive education on the activation of emergency medical system. ),(Inclusion Criteria: Includes only relevant concepts associated with only SNOMED CT codes representing emergency medical system education.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.464.1003.104.12.1001,Acute Myocardial Infarction,eCQM Update 2018-09-17,ICD10CM,2019,2.16.840.1.113883.6.90,"(Clinical Focus: This value set contains concepts that represent a diagnosis of acute myocardial infarction.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Diagnosis. ),(Inclusion Criteria: Includes only relevant concepts associated with all patients who have had an acute myocardial infarction.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.464.1003.102.12.1011,Acute Pharyngitis,eCQM Update 2018-09-17,ICD10CM,2019,2.16.840.1.113883.6.90,"(Clinical Focus: This value set contains concepts that represent diagnoses of bacterial or viral acute pharyngitis.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Diagnosis.),(Inclusion Criteria: Includes only relevant concepts associated with a diagnosis of either bacterial and viral acute pharyngitis. This is a value set grouping that includes ICD-10-CM and SNOMED CT codes.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.464.1003.102.12.1012,Acute Tonsillitis,eCQM Update 2018-09-17,ICD10CM,2019,2.16.840.1.113883.6.90,"(Clinical Focus: This value set contains concepts that represent diagnoses of bacterial or viral acute tonsillitis.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Diagnosis.),(Inclusion Criteria: Includes relevant concepts associated with a diagnosis of either bacterial and viral acute tonsillitis. This is a value set grouping that includes ICD-10-CM and SNOMED CT codes.),(Exclusion Criteria: No exclusions.)"
